age,qx,lx,dx,Lx,Tx,ex
0–1,0.003100,"100,000",310,"99,723","8,742,726",87.4
1–2,0.000196,"99,690",20,"99,680","8,643,003",86.7
2–3,0.000150,"99,670",15,"99,663","8,543,322",85.7
3–4,0.000168,"99,655",17,"99,647","8,443,660",84.7
4–5,0.000135,"99,639",13,"99,632","8,344,013",83.7
5–6,0.000093,"99,625",9,"99,621","8,244,381",82.8
6–7,0.000075,"99,616",7,"99,612","8,144,760",81.8
7–8,0.000064,"99,609",6,"99,605","8,045,148",80.8
8–9,0.000060,"99,602",6,"99,599","7,945,543",79.8
9–10,0.000061,"99,596",6,"99,593","7,845,943",78.8
10–11,0.000067,"99,590",7,"99,587","7,746,350",77.8
11–12,0.000076,"99,583",8,"99,580","7,646,764",76.8
12–13,0.000085,"99,576",8,"99,572","7,547,184",75.8
13–14,0.000093,"99,567",9,"99,563","7,447,612",74.8
14–15,0.000101,"99,558",10,"99,553","7,348,050",73.8
15–16,0.000111,"99,548",11,"99,543","7,248,497",72.8
16–17,0.000123,"99,537",12,"99,531","7,148,954",71.8
17–18,0.000135,"99,525",13,"99,518","7,049,423",70.8
18–19,0.000147,"99,511",15,"99,504","6,949,905",69.8
19–20,0.000160,"99,497",16,"99,489","6,850,401",68.9
20–21,0.000174,"99,481",17,"99,472","6,750,912",67.9
21–22,0.000187,"99,463",19,"99,454","6,651,440",66.9
22–23,0.000198,"99,445",20,"99,435","6,551,986",65.9
23–24,0.000206,"99,425",20,"99,415","6,452,551",64.9
24–25,0.000212,"99,405",21,"99,394","6,353,136",63.9
25–26,0.000217,"99,384",22,"99,373","6,253,742",62.9
26–27,0.000222,"99,362",22,"99,351","6,154,369",61.9
27–28,0.000229,"99,340",23,"99,329","6,055,017",61.0
28–29,0.000237,"99,317",24,"99,306","5,955,689",60.0
29–30,0.000247,"99,294",25,"99,282","5,856,383",59.0
30–31,0.000259,"99,269",26,"99,256","5,757,101",58.0
31–32,0.000270,"99,244",27,"99,230","5,657,845",57.0
32–33,0.000283,"99,217",28,"99,203","5,558,615",56.0
33–34,0.000295,"99,189",29,"99,174","5,459,412",55.0
34–35,0.000309,"99,159",31,"99,144","5,360,238",54.1
35–36,0.000325,"99,129",32,"99,113","5,261,094",53.1
36–37,0.000345,"99,097",34,"99,079","5,161,981",52.1
37–38,0.000366,"99,062",36,"99,044","5,062,901",51.1
38–39,0.000390,"99,026",39,"99,007","4,963,857",50.1
39–40,0.000417,"98,987",41,"98,967","4,864,850",49.1
40–41,0.000447,"98,946",44,"98,924","4,765,884",48.2
41–42,0.000484,"98,902",48,"98,878","4,666,960",47.2
42–43,0.000533,"98,854",53,"98,828","4,568,082",46.2
43–44,0.000597,"98,801",59,"98,772","4,469,254",45.2
44–45,0.000670,"98,742",66,"98,709","4,370,482",44.3
45–46,0.000747,"98,676",74,"98,639","4,271,773",43.3
46–47,0.000826,"98,603",81,"98,562","4,173,133",42.3
47–48,0.000907,"98,521",89,"98,477","4,074,571",41.4
48–49,0.000993,"98,432",98,"98,383","3,976,095",40.4
49–50,0.001089,"98,334",107,"98,281","3,877,712",39.4
50–51,0.001202,"98,227",118,"98,168","3,779,431",38.5
51–52,0.001327,"98,109",130,"98,044","3,681,263",37.5
52–53,0.001447,"97,979",142,"97,908","3,583,219",36.6
53–54,0.001549,"97,837",152,"97,761","3,485,312",35.6
54–55,0.001637,"97,685",160,"97,605","3,387,550",34.7
55–56,0.001727,"97,525",168,"97,441","3,289,945",33.7
56–57,0.001838,"97,357",179,"97,267","3,192,504",32.8
57–58,0.001977,"97,178",192,"97,082","3,095,236",31.9
58–59,0.002156,"96,986",209,"96,881","2,998,154",30.9
59–60,0.002374,"96,777",230,"96,662","2,901,273",30.0
60–61,0.002609,"96,547",252,"96,421","2,804,611",29.0
61–62,0.002864,"96,295",276,"96,157","2,708,190",28.1
62–63,0.003172,"96,019",305,"95,867","2,612,033",27.2
63–64,0.003543,"95,715",339,"95,545","2,516,166",26.3
64–65,0.003972,"95,376",379,"95,186","2,420,621",25.4
65–66,0.004446,"94,997",422,"94,786","2,325,434",24.5
66–67,0.004949,"94,574",468,"94,340","2,230,649",23.6
67–68,0.005484,"94,106",516,"93,848","2,136,308",22.7
68–69,0.006051,"93,590",566,"93,307","2,042,460",21.8
69–70,0.006667,"93,024",620,"92,714","1,949,153",21.0
70–71,0.007371,"92,404",681,"92,063","1,856,439",20.1
71–72,0.008166,"91,723",749,"91,348","1,764,376",19.2
72–73,0.009036,"90,974",822,"90,563","1,673,027",18.4
73–74,0.009985,"90,152",900,"89,702","1,582,465",17.6
74–75,0.011055,"89,252",987,"88,758","1,492,763",16.7
75–76,0.012310,"88,265","1,087","87,722","1,404,005",15.9
76–77,0.013831,"87,178","1,206","86,575","1,316,283",15.1
77–78,0.015705,"85,973","1,350","85,297","1,229,708",14.3
78–79,0.017841,"84,622","1,510","83,867","1,144,410",13.5
79–80,0.020326,"83,113","1,689","82,268","1,060,543",12.8
80–81,0.023034,"81,423","1,876","80,485","978,275",12.0
81–82,0.026235,"79,548","2,087","78,504","897,790",11.3
82–83,0.030378,"77,461","2,353","76,284","819,286",10.6
83–84,0.035068,"75,108","2,634","73,791","743,001",9.9
84–85,0.039687,"72,474","2,876","71,036","669,211",9.2
85–86,0.045983,"69,597","3,200","67,997","598,175",8.6
