age,qx,lx,dx,Lx,Tx,ex
0–1,0.005575,"100,000",557,"99,513","7,884,823",78.8
1–2,0.000379,"99,443",38,"99,424","7,785,310",78.3
2–3,0.000234,"99,405",23,"99,393","7,685,886",77.3
3–4,0.000180,"99,382",18,"99,373","7,586,493",76.3
4–5,0.000145,"99,364",14,"99,357","7,487,120",75.4
5–6,0.000137,"99,349",14,"99,343","7,387,764",74.4
6–7,0.000124,"99,336",12,"99,330","7,288,421",73.4
7–8,0.000114,"99,323",11,"99,318","7,189,091",72.4
8–9,0.000105,"99,312",10,"99,307","7,089,774",71.4
9–10,0.000097,"99,302",10,"99,297","6,990,467",70.4
10–11,0.000095,"99,292",9,"99,287","6,891,170",69.4
11–12,0.000104,"99,282",10,"99,277","6,791,883",68.4
12–13,0.000131,"99,272",13,"99,266","6,692,606",67.4
13–14,0.000181,"99,259",18,"99,250","6,593,340",66.4
14–15,0.000248,"99,241",25,"99,229","6,494,090",65.4
15–16,0.000324,"99,217",32,"99,200","6,394,861",64.5
16–17,0.000401,"99,184",40,"99,165","6,295,661",63.5
17–18,0.000483,"99,145",48,"99,121","6,196,496",62.5
18–19,0.000569,"99,097",56,"99,069","6,097,375",61.5
19–20,0.000657,"99,040",65,"99,008","5,998,307",60.6
20–21,0.000748,"98,975",74,"98,938","5,899,299",59.6
21–22,0.000839,"98,901",83,"98,860","5,800,361",58.6
22–23,0.000917,"98,818",91,"98,773","5,701,501",57.7
23–24,0.000976,"98,728",96,"98,680","5,602,728",56.7
24–25,0.001020,"98,631",101,"98,581","5,504,048",55.8
25–26,0.001057,"98,531",104,"98,479","5,405,467",54.9
26–27,0.001097,"98,427",108,"98,373","5,306,988",53.9
27–28,0.001139,"98,319",112,"98,263","5,208,616",53.0
28–29,0.001190,"98,207",117,"98,148","5,110,353",52.0
29–30,0.001248,"98,090",122,"98,029","5,012,205",51.1
30–31,0.001309,"97,967",128,"97,903","4,914,176",50.2
31–32,0.001371,"97,839",134,"97,772","4,816,273",49.2
32–33,0.001436,"97,705",140,"97,635","4,718,501",48.3
33–34,0.001500,"97,565",146,"97,492","4,620,866",47.4
34–35,0.001564,"97,418",152,"97,342","4,523,374",46.4
35–36,0.001636,"97,266",159,"97,186","4,426,032",45.5
36–37,0.001711,"97,107",166,"97,024","4,328,846",44.6
37–38,0.001782,"96,941",173,"96,854","4,231,822",43.7
