age,qx,lx,dx,Lx,Tx,ex
0–1,0.003997,"100,000",400,"99,646","8,126,117",81.3
1–2,0.000264,"99,600",26,"99,587","8,026,471",80.6
2–3,0.000156,"99,574",16,"99,566","7,926,884",79.6
3–4,0.000119,"99,558",12,"99,553","7,827,318",78.6
4–5,0.00011,"99,547",11,"99,541","7,727,765",77.6
5–6,0.000092,"99,536",9,"99,531","7,628,224",76.6
6–7,0.000083,"99,526",8,"99,522","7,528,693",75.6
7–8,0.000077,"99,518",8,"99,514","7,429,171",74.7
8–9,0.000074,"99,511",7,"99,507","7,329,656",73.7
9–10,0.000074,"99,503",7,"99,500","7,230,150",72.7
10–11,0.000077,"99,496",8,"99,492","7,130,650",71.7
11–12,0.000086,"99,488",9,"99,484","7,031,158",70.7
12–13,0.000104,"99,480",10,"99,474","6,931,674",69.7
13–14,0.000131,"99,469",13,"99,463","6,832,200",68.7
14–15,0.000166,"99,456",16,"99,448","6,732,737",67.7
15–16,0.000205,"99,440",20,"99,430","6,633,289",66.7
16–17,0.000245,"99,419",24,"99,407","6,533,859",65.7
17–18,0.000284,"99,395",28,"99,381","6,434,452",64.7
18–19,0.000321,"99,367",32,"99,351","6,335,071",63.8
19–20,0.000356,"99,335",35,"99,317","6,235,720",62.8
20–21,0.000394,"99,300",39,"99,280","6,136,403",61.8
21–22,0.000435,"99,260",43,"99,239","6,037,123",60.8
22–23,0.000478,"99,217",47,"99,194","5,937,884",59.8
23–24,0.000523,"99,170",52,"99,144","5,838,691",58.9
24–25,0.000568,"99,118",56,"99,090","5,739,547",57.9
25–26,0.000613,"99,062",61,"99,031","5,640,457",56.9
26–27,0.000658,"99,001",65,"98,969","5,541,426",56
27–28,0.000706,"98,936",70,"98,901","5,442,457",55
28–29,0.000761,"98,866",75,"98,828","5,343,556",54
29–30,0.000822,"98,791",81,"98,750","5,244,728",53.1
30–31,0.000887,"98,710",88,"98,666","5,145,977",52.1
31–32,0.000952,"98,622",94,"98,575","5,047,312",51.2
32–33,0.001017,"98,528",100,"98,478","4,948,737",50.2
33–34,0.00108,"98,428",106,"98,375","4,850,259",49.3
34–35,0.001141,"98,322",112,"98,265","4,751,884",48.3
35–36,0.001208,"98,209",119,"98,150","4,653,619",47.4
36–37,0.001279,"98,091",125,"98,028","4,555,469",46.4
37–38,0.001341,"97,965",131,"97,900","4,457,441",45.5
38–39,0.001392,"97,834",136,"97,766","4,359,541",44.6
39–40,0.00144,"97,698",141,"97,627","4,261,775",43.6
40–41,0.001497,"97,557",146,"97,484","4,164,148",42.7
41–42,0.001574,"97,411",153,"97,334","4,066,664",41.7
42–43,0.001675,"97,258",163,"97,176","3,969,329",40.8
43–44,0.001801,"97,095",175,"97,007","3,872,153",39.9
44–45,0.001947,"96,920",189,"96,826","3,775,146",39
45–46,0.002111,"96,731",204,"96,629","3,678,320",38
46–47,0.002288,"96,527",221,"96,417","3,581,691",37.1
47–48,0.00247,"96,306",238,"96,187","3,485,274",36.2
48–49,0.002657,"96,068",255,"95,941","3,389,087",35.3
49–50,0.002861,"95,813",274,"95,676","3,293,146",34.4
50–51,0.003078,"95,539",294,"95,392","3,197,470",33.5
51–52,0.003327,"95,245",317,"95,086","3,102,078",32.6
52–53,0.003631,"94,928",345,"94,756","3,006,992",31.7
53–54,0.003989,"94,583",377,"94,395","2,912,236",30.8
54–55,0.004376,"94,206",412,"94,000","2,817,841",29.9
55–56,0.004756,"93,794",446,"93,571","2,723,841",29
56–57,0.005131,"93,348",479,"93,108","2,630,271",28.2
57–58,0.005526,"92,869",513,"92,612","2,537,163",27.3
58–59,0.005959,"92,355",550,"92,080","2,444,550",26.5
59–60,0.006431,"91,805",590,"91,510","2,352,470",25.6
60–61,0.006958,"91,215",635,"90,897","2,260,960",24.8
61–62,0.007503,"90,580",680,"90,240","2,170,063",24
62–63,0.008028,"89,900",722,"89,540","2,079,822",23.1
63–64,0.008515,"89,179",759,"88,799","1,990,283",22.3
64–65,0.009,"88,419",796,"88,022","1,901,484",21.5
65–66,0.009509,"87,624",833,"87,207","1,813,462",20.7
66–67,0.010155,"86,790",881,"86,350","1,726,255",19.9
67–68,0.010955,"85,909",941,"85,439","1,639,905",19.1
68–69,0.011998,"84,968","1,019","84,458","1,554,467",18.3
69–70,0.013235,"83,949","1,111","83,393","1,470,009",17.5
70–71,0.014612,"82,837","1,210","82,232","1,386,616",16.7
71–72,0.016161,"81,627","1,319","80,967","1,304,383",16
72–73,0.017615,"80,308","1,415","79,600","1,223,416",15.2
73–74,0.019745,"78,893","1,558","78,114","1,143,816",14.5
74–75,0.021549,"77,335","1,667","76,502","1,065,701",13.8
75–76,0.023981,"75,669","1,815","74,762","989,199",13.1
76–77,0.026395,"73,854","1,949","72,880","914,438",12.4
77–78,0.029588,"71,905","2,128","70,841","841,558",11.7
78–79,0.032907,"69,777","2,296","68,629","770,717",11
79–80,0.036769,"67,481","2,481","66,241","702,088",10.4
80–81,0.040821,"65,000","2,653","63,673","635,847",9.8
81–82,0.045462,"62,347","2,834","60,929","572,174",9.2
82–83,0.051481,"59,512","3,064","57,980","511,244",8.6
83–84,0.058132,"56,448","3,281","54,808","453,264",8
84–85,0.064535,"53,167","3,431","51,451","398,456",7.5
85–86,0.07306,"49,736","3,634","47,919","347,005",7
86–87,0.081385,"46,102","3,752","44,226","299,086",6.5
87–88,0.091872,"42,350","3,891","40,405","254,860",6
88–89,0.10347,"38,459","3,979","36,470","214,455",5.6
89–90,0.116237,"34,480","4,008","32,476","177,986",5.2
90–91,0.130215,"30,472","3,968","28,488","145,510",4.8
91–92,0.145429,"26,504","3,854","24,577","117,022",4.4
92–93,0.161885,"22,650","3,667","20,816","92,445",4.1
93–94,0.179561,"18,983","3,409","17,279","71,628",3.8
94–95,0.198409,"15,574","3,090","14,029","54,350",3.5
95–96,0.218348,"12,484","2,726","11,121","40,320",3.2
96–97,0.239267,"9,758","2,335","8,591","29,199",3
97–98,0.261023,"7,424","1,938","6,455","20,608",2.8
98–99,0.283446,"5,486","1,555","4,708","14,153",2.6
99–100,0.306341,"3,931","1,204","3,329","9,445",2.4
100 and over,1,"2,727","2,727","6,116","6,116",2.2
