age,qx,lx,dx,Lx,Tx,ex
0–1,0.004937,"100,000",494,"99,571","7,633,110",76.3
1–2,0.000414,"99,506",41,"99,486","7,533,539",75.7
2–3,0.000247,"99,465",25,"99,453","7,434,053",74.7
3–4,0.000198,"99,441",20,"99,431","7,334,601",73.8
4–5,0.000154,"99,421",15,"99,413","7,235,170",72.8
5–6,0.000144,"99,406",14,"99,398","7,135,757",71.8
6–7,0.000128,"99,391",13,"99,385","7,036,358",70.8
7–8,0.000117,"99,378",12,"99,373","6,936,974",69.8
8–9,0.000110,"99,367",11,"99,361","6,837,601",68.8
9–10,0.000109,"99,356",11,"99,351","6,738,239",67.8
10–11,0.000115,"99,345",11,"99,339","6,638,889",66.8
11–12,0.000134,"99,334",13,"99,327","6,539,550",65.8
12–13,0.000170,"99,320",17,"99,312","6,440,223",64.8
13–14,0.000225,"99,303",22,"99,292","6,340,911",63.9
14–15,0.000296,"99,281",29,"99,266","6,241,618",62.9
15–16,0.000374,"99,252",37,"99,233","6,142,352",61.9
16–17,0.000457,"99,215",45,"99,192","6,043,119",60.9
17–18,0.000557,"99,169",55,"99,142","5,943,927",59.9
18–19,0.000677,"99,114",67,"99,080","5,844,785",59.0
19–20,0.000810,"99,047",80,"99,007","5,745,705",58.0
20–21,0.000950,"98,967",94,"98,920","5,646,698",57.1
21–22,0.001087,"98,873",108,"98,819","5,547,779",56.1
22–23,0.001211,"98,765",120,"98,705","5,448,960",55.2
23–24,0.001312,"98,646",129,"98,581","5,350,255",54.2
24–25,0.001394,"98,516",137,"98,447","5,251,674",53.3
25–26,0.001470,"98,379",145,"98,306","5,153,226",52.4
26–27,0.001546,"98,234",152,"98,158","5,054,920",51.5
27–28,0.001620,"98,082",159,"98,003","4,956,762",50.5
28–29,0.001694,"97,923",166,"97,840","4,858,759",49.6
29–30,0.001771,"97,757",173,"97,671","4,760,919",48.7
30–31,0.001849,"97,584",180,"97,494","4,663,248",47.8
31–32,0.001928,"97,404",188,"97,310","4,565,754",46.9
32–33,0.002010,"97,216",195,"97,118","4,468,444",46.0
33–34,0.002094,"97,021",203,"96,919","4,371,325",45.1
34–35,0.002180,"96,818",211,"96,712","4,274,406",44.1
35–36,0.002274,"96,607",220,"96,497","4,177,694",43.2
36–37,0.002372,"96,387",229,"96,273","4,081,197",42.3
37–38,0.002459,"96,158",236,"96,040","3,984,925",41.4
38–39,0.002532,"95,922",243,"95,800","3,888,885",40.5
39–40,0.002602,"95,679",249,"95,554","3,793,084",39.6
40–41,0.002689,"95,430",257,"95,302","3,697,530",38.7
41–42,0.002803,"95,173",267,"95,040","3,602,228",37.8
42–43,0.002938,"94,907",279,"94,767","3,507,188",37.0
43–44,0.003091,"94,628",293,"94,481","3,412,421",36.1
44–45,0.003263,"94,335",308,"94,181","3,317,940",35.2
45–46,0.003461,"94,027",325,"93,865","3,223,758",34.3
46–47,0.003690,"93,702",346,"93,529","3,129,894",33.4
47–48,0.003948,"93,356",369,"93,172","3,036,365",32.5
48–49,0.004243,"92,987",395,"92,790","2,943,193",31.7
49–50,0.004584,"92,593",424,"92,381","2,850,403",30.8
50–51,0.004950,"92,168",456,"91,940","2,758,022",29.9
51–52,0.005365,"91,712",492,"91,466","2,666,082",29.1
